year,district,DBN,school_name,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent
2015,10,10X351,Bronx Collaborative High School,223,2.25,2.18,0.161,0.229,0.000,0.855,0.197,0.668,0.013,0.296,0.623,0.049,0.716,0.965
2015,07,07X655,Samuel Gompers Career and Technical Education High,78,2.15,2.10,0.103,0.321,0.013,0.833,0.103,0.667,0.000,0.321,0.641,0.026,0.700,0.839
2015,05,05M469,Choir Academy of Harlem,77,2.34,2.11,0.000,0.200,0.000,0.832,0.200,0.600,0.000,0.780,0.200,0.020,0.682,0.800
2015,02,02M625,High School of Graphic Communication Arts,336,2.24,2.04,0.051,0.244,0.065,0.727,0.083,0.577,0.018,0.339,0.601,0.021,0.664,0.791
2015,08,08X650,Jane Addams High School for Academic Careers,147,2.03,2.07,0.088,0.313,0.007,0.843,0.041,0.714,0.000,0.327,0.639,0.027,0.707,0.757
2015,08,08X530,Banana Kelly High School,325,2.02,1.94,0.114,0.317,0.148,0.851,0.185,0.702,0.000,0.372,0.606,0.012,0.715,0.746
2015,08,08X452,Bronx Guild,326,2.17,1.98,0.104,0.307,0.006,0.821,0.135,0.663,0.040,0.322,0.617,0.012,0.742,0.728
2015,02,02M460,Washington Irving High School,99,2.16,2.04,0.172,0.343,0.152,0.713,0.061,0.566,0.030,0.333,0.566,0.071,0.727,0.726
2015,12,12X278,Peace and Diversity Academy,170,2.03,1.90,0.188,0.282,0.124,0.774,0.253,0.541,0.006,0.441,0.524,0.018,0.693,0.707
2015,05,05M685,Bread & Roses Integrated Arts High School,100,2.03,1.96,0.150,0.370,0.190,0.812,0.110,0.680,0.000,0.520,0.480,0.000,0.752,0.705
2015,09,09X414,Jonathan Levin High School for Media and Communica,160,2.05,1.98,0.400,0.269,0.106,0.846,0.213,0.638,0.013,0.206,0.769,0.013,0.753,0.698
2015,14,14K322,Foundations Academy,113,2.14,1.99,0.062,0.327,0.027,0.826,0.265,0.655,0.018,0.673,0.292,0.000,0.742,0.686
2015,05,05M367,Academy for Social Action: A College Board School,234,2.07,1.96,0.189,0.276,0.065,0.797,0.171,0.604,0.005,0.465,0.493,0.028,0.709,0.681
2015,08,08X295,Gateway School for Environmental Research and Tech,70,2.11,1.97,0.171,0.371,0.014,0.707,0.086,0.543,0.014,0.314,0.643,0.029,0.814,0.676
2015,10,10X660,Grace Dodge Career and Technical Education High Sc,178,2.03,1.99,0.270,0.399,0.152,0.801,0.067,0.652,0.022,0.213,0.753,0.011,0.732,0.676
