,year,district,DBN,School Name,average_score_SAT_math,average_score_SAT_reading,%_students_SAT_math_college_ready,%_students_SAT_reading_college_ready,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent,asian_count,white_count,black_count,hispanic_count,homeless_count,sat_math_college_ready_count,sat_reading_college_ready_count,sat_score,%_non_white
0,2019,1,01M292,Orchard Collegiate Academy,448.4,438.0,0.107,0.179,197,2.7,2.33,0.11699999999999999,0.289,0.005,0.87,0.183,0.782,0.096,0.26899999999999996,0.569,0.03,0.917,0.289,18.912,5.91,52.992999999999995,112.09299999999999,36.051,21.079,35.263,886.4,83.8
1,2019,1,01M448,University Neighborhood High School,510.5,502.6,0.40399999999999997,0.556,483,2.97,2.99,0.147,0.17,,0.83,0.18,0.723,0.369,0.195,0.38299999999999995,0.046,0.909,0.274,178.227,22.218,94.185,184.98899999999998,86.94,195.13199999999998,268.548,1013.1,57.8
2,2019,1,01M450,East Side Community School,525.2,527.0,0.40399999999999997,0.7340000000000001,370,3.07,3.06,0.016,0.24600000000000002,,0.68,0.084,0.541,0.13,0.192,0.522,0.124,0.938,0.146,48.1,45.88,71.04,193.14000000000001,31.080000000000002,149.48,271.58000000000004,1052.2,71.4
3,2019,1,01M509,Marta Valle High School,467.3,472.0,0.19399999999999998,0.47200000000000003,127,2.79,2.36,0.063,0.276,0.047,0.81,0.134,0.74,0.071,0.37,0.512,0.024,0.7959999999999999,0.628,9.017,3.048,46.99,65.024,17.018,24.637999999999998,59.944,939.3,88.20000000000002
4,2019,1,01M539,"New Explorations into Science, Technology and Math",679.4,646.2,0.9209999999999999,0.9640000000000001,615,3.7,3.9,0.003,0.14300000000000002,0.002,0.4,0.02,0.285,0.268,0.124,0.187,0.39,0.9520000000000001,0.096,164.82000000000002,239.85,76.26,115.005,12.3,566.415,592.86,1325.6,31.1
5,2019,1,01M696,Bard High School Early College,669.1,669.8,0.94,0.953,615,3.88,4.1,0.002,0.076,,0.4,0.026000000000000002,0.293,0.293,0.111,0.171,0.39799999999999996,0.948,0.114,180.195,244.76999999999998,68.265,105.165,15.990000000000002,578.1,586.095,1338.9,28.2
6,2019,2,02M047,47 The American Sign Language and English Secondar,473.2,485.3,0.15,0.475,196,2.93,2.69,0.046,0.27,0.01,0.77,0.163,0.6729999999999999,0.031,0.276,0.643,0.046,0.9,0.352,6.076,9.016,54.096000000000004,126.028,31.948,29.4,93.1,958.5,91.9
7,2019,2,02M135,The Urban Assembly School for Emergency Management,471.3,467.7,0.19699999999999998,0.377,265,2.85,2.49,0.034,0.223,0.004,0.81,0.158,0.7020000000000001,0.06,0.28300000000000003,0.6,0.034,0.86,0.465,15.899999999999999,9.01,74.995,159.0,41.87,52.205,99.905,939.0,88.3
8,2019,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,439.2,446.2,0.138,0.325,401,2.74,2.59,0.07200000000000001,0.257,,0.83,0.11699999999999999,0.721,0.042,0.264,0.631,0.042,0.8490000000000001,0.527,16.842000000000002,16.842000000000002,105.864,253.031,46.916999999999994,55.33800000000001,130.32500000000002,885.4,89.5
9,2019,2,02M260,The Clinton School,581.5,607.9,0.701,0.885,433,3.68,3.62,0.005,0.18,,0.25,0.009000000000000001,0.152,0.111,0.055,0.14300000000000002,0.628,0.946,0.149,48.063,271.924,23.815,61.919000000000004,3.8970000000000002,303.53299999999996,383.205,1189.4,19.800000000000004
