year,county,sum_students
2012,BRONX,4242
2012,BROOKLYN,4789
2012,MANHATTAN,3130
2012,QUEENS,2365
2012,STATEN ISLAND,533
2013,BRONX,4399
2013,BROOKLYN,5078
2013,MANHATTAN,3502
2013,QUEENS,2732
2013,STATEN ISLAND,649
2014,BRONX,5215
2014,BROOKLYN,5359
2014,MANHATTAN,3951
2014,QUEENS,3029
2014,STATEN ISLAND,624
2015,BRONX,5457
2015,BROOKLYN,5151
2015,MANHATTAN,4396
2015,QUEENS,2944
2015,STATEN ISLAND,498
2016,BRONX,6812
2016,BROOKLYN,6120
2016,MANHATTAN,5431
2016,QUEENS,3594
2016,STATEN ISLAND,615
2017,BRONX,7477
2017,BROOKLYN,7055
2017,MANHATTAN,5674
2017,QUEENS,4133
2017,STATEN ISLAND,696
2018,BRONX,7704
2018,BROOKLYN,7243
2018,MANHATTAN,6281
2018,QUEENS,4453
2018,STATEN ISLAND,686
2019,BRONX,7962
2019,BROOKLYN,7345
2019,MANHATTAN,5980
2019,QUEENS,4592
2019,STATEN ISLAND,665
2012,NEW YORK STATE,7563
2013,NEW YORK STATE,8106
2014,NEW YORK STATE,8031
2015,NEW YORK STATE,8818
2016,NEW YORK STATE,9559
2017,NEW YORK STATE,10129
2018,NEW YORK STATE,10573
2019,NEW YORK STATE,9522
2012,NEW YORK CITY,15059
2013,NEW YORK CITY,16360
2014,NEW YORK CITY,18178
2015,NEW YORK CITY,18446
2016,NEW YORK CITY,22572
2017,NEW YORK CITY,25035
2018,NEW YORK CITY,26367
2019,NEW YORK CITY,26544
