district,race,percent
6,pct_asian,2.1
6,pct_white,1.7
6,pct_black,13.5
6,other_unidentified,0.9
6,pct_hispanic,81.9
7,pct_hispanic,68.7
7,pct_black,26.8
7,pct_white,1.5
7,other_unidentified,1.5
7,pct_asian,1.6
9,pct_white,1.6
9,pct_asian,2.1
9,pct_black,26.7
9,other_unidentified,1.1
9,pct_hispanic,68.5
12,pct_hispanic,70.3
12,pct_asian,2.4
12,other_unidentified,1.5
12,pct_white,1.6
12,pct_black,24.2
23,pct_white,0.7
23,pct_black,85.4
23,pct_asian,1.5
23,other_unidentified,1.1
23,pct_hispanic,11.3
